,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
153,https://dadosabertos.camara.leg.br/api/v2/deputados/141421,Eduardo da Fonte,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PE,56,https://www.camara.leg.br/internet/deputado/bandep/141421.jpg,
154,https://dadosabertos.camara.leg.br/api/v2/deputados/141422,Efraim Filho,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PB,56,https://www.camara.leg.br/internet/deputado/bandep/141422.jpg,
155,https://dadosabertos.camara.leg.br/api/v2/deputados/74075,Elcione Barbalho,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,PA,56,https://www.camara.leg.br/internet/deputado/bandep/74075.jpg,
156,https://dadosabertos.camara.leg.br/api/v2/deputados/204364,Eli Borges,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,TO,56,https://www.camara.leg.br/internet/deputado/bandep/204364.jpg,
157,https://dadosabertos.camara.leg.br/api/v2/deputados/160532,Eli Corrêa Filho,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.leg.br/internet/deputado/bandep/160532.jpg,
158,https://dadosabertos.camara.leg.br/api/v2/deputados/204389,Elias Vaz,11,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204389.jpg,
159,https://dadosabertos.camara.leg.br/api/v2/deputados/220008,Eliza Virgínia,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PB,56,https://www.camara.leg.br/internet/deputado/bandep/220008.jpg,
160,https://dadosabertos.camara.leg.br/api/v2/deputados/178854,Elmar Nascimento,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,BA,56,https://www.camara.leg.br/internet/deputado/bandep/178854.jpg,
161,https://dadosabertos.camara.leg.br/api/v2/deputados/198783,Emanuel Pinheiro Neto,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MT,56,https://www.camara.leg.br/internet/deputado/bandep/198783.jpg,
162,https://dadosabertos.camara.leg.br/api/v2/deputados/161550,Emidinho Madeira,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MG,56,https://www.camara.leg.br/internet/deputado/bandep/161550.jpg,
163,https://dadosabertos.camara.leg.br/api/v2/deputados/132504,Enio Verri,16,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PR,56,https://www.camara.leg.br/internet/deputado/bandep/132504.jpg,
164,https://dadosabertos.camara.leg.br/api/v2/deputados/204537,Enrico Misasi,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204537.jpg,
165,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,16,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,DF,56,https://www.camara.leg.br/internet/deputado/bandep/160575.jpg,
166,https://dadosabertos.camara.leg.br/api/v2/deputados/160640,Eros Biondini,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MG,56,https://www.camara.leg.br/internet/deputado/bandep/160640.jpg,
167,https://dadosabertos.camara.leg.br/api/v2/deputados/204482,Euclydes Pettersen,12,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204482.jpg,
168,https://dadosabertos.camara.leg.br/api/v2/deputados/178871,Evair Vieira de Melo,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,ES,56,https://www.camara.leg.br/internet/deputado/bandep/178871.jpg,
169,https://dadosabertos.camara.leg.br/api/v2/deputados/178953,Expedito Netto,13,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RO,56,https://www.camara.leg.br/internet/deputado/bandep/178953.jpg,
170,https://dadosabertos.camara.leg.br/api/v2/deputados/68720,Fábio Henrique,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SE,56,https://www.camara.leg.br/internet/deputado/bandep/68720.jpg,
171,https://dadosabertos.camara.leg.br/api/v2/deputados/141427,Fábio Ramalho,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MG,56,https://www.camara.leg.br/internet/deputado/bandep/141427.jpg,
172,https://dadosabertos.camara.leg.br/api/v2/deputados/171623,Fabio Reis,13,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SE,56,https://www.camara.leg.br/internet/deputado/bandep/171623.jpg,
173,https://dadosabertos.camara.leg.br/api/v2/deputados/204368,Fabio Schiochet,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SC,56,https://www.camara.leg.br/internet/deputado/bandep/204368.jpg,
174,https://dadosabertos.camara.leg.br/api/v2/deputados/160587,Fábio Trad,13,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,MS,56,https://www.camara.leg.br/internet/deputado/bandep/160587.jpg,
175,https://dadosabertos.camara.leg.br/api/v2/deputados/66828,Fausto Pinato,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SP,56,https://www.camara.leg.br/internet/deputado/bandep/66828.jpg,
176,https://dadosabertos.camara.leg.br/api/v2/deputados/204477,Felício Laterça,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/204477.jpg,
177,https://dadosabertos.camara.leg.br/api/v2/deputados/72442,Felipe Carreras,11,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,PE,56,https://www.camara.leg.br/internet/deputado/bandep/72442.jpg,
178,https://dadosabertos.camara.leg.br/api/v2/deputados/204398,Felipe Francischini,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PR,56,https://www.camara.leg.br/internet/deputado/bandep/204398.jpg,
179,https://dadosabertos.camara.leg.br/api/v2/deputados/204371,Felipe Rigoni,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,ES,56,https://www.camara.leg.br/internet/deputado/bandep/204371.jpg,
180,https://dadosabertos.camara.leg.br/api/v2/deputados/160666,Félix Mendonça Júnior,6,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,BA,56,https://www.camara.leg.br/internet/deputado/bandep/160666.jpg,
181,https://dadosabertos.camara.leg.br/api/v2/deputados/204407,Fernanda Melchionna,15,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,RS,56,https://www.camara.leg.br/internet/deputado/bandep/204407.jpg,
182,https://dadosabertos.camara.leg.br/api/v2/deputados/141431,Fernando Coelho Filho,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PE,56,https://www.camara.leg.br/internet/deputado/bandep/141431.jpg,
183,https://dadosabertos.camara.leg.br/api/v2/deputados/92699,Fernando Monteiro,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PE,56,https://www.camara.leg.br/internet/deputado/bandep/92699.jpg,
184,https://dadosabertos.camara.leg.br/api/v2/deputados/204427,Fernando Rodolfo,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,PE,56,https://www.camara.leg.br/internet/deputado/bandep/204427.jpg,
185,https://dadosabertos.camara.leg.br/api/v2/deputados/204411,Filipe Barros,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,PR,56,https://www.camara.leg.br/internet/deputado/bandep/204411.jpg,
186,https://dadosabertos.camara.leg.br/api/v2/deputados/204354,Flávia Arruda,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,DF,56,https://www.camara.leg.br/internet/deputado/bandep/204354.jpg,
187,https://dadosabertos.camara.leg.br/api/v2/deputados/160598,Flávia Morais,6,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,GO,56,https://www.camara.leg.br/internet/deputado/bandep/160598.jpg,
188,https://dadosabertos.camara.leg.br/api/v2/deputados/141434,Flaviano Melo,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,AC,56,https://www.camara.leg.br/internet/deputado/bandep/141434.jpg,
189,https://dadosabertos.camara.leg.br/api/v2/deputados/191923,Flávio Nogueira,16,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PI,56,https://www.camara.leg.br/internet/deputado/bandep/191923.jpg,
190,https://dadosabertos.camara.leg.br/api/v2/deputados/204392,Francisco Jr.,13,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204392.jpg,
191,https://dadosabertos.camara.leg.br/api/v2/deputados/204510,Franco Cartafina,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204510.jpg,
192,https://dadosabertos.camara.leg.br/api/v2/deputados/204494,Fred Costa,4,https://dadosabertos.camara.leg.br/api/v2/partidos/37907,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204494.jpg,
193,https://dadosabertos.camara.leg.br/api/v2/deputados/204393,Frei Anastacio Ribeiro,16,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PB,56,https://www.camara.leg.br/internet/deputado/bandep/204393.jpg,
194,https://dadosabertos.camara.leg.br/api/v2/deputados/115746,Gelson Azevedo,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/115746.jpg,
195,https://dadosabertos.camara.leg.br/api/v2/deputados/160669,Genecias Noronha,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,CE,56,https://www.camara.leg.br/internet/deputado/bandep/160669.jpg,
196,https://dadosabertos.camara.leg.br/api/v2/deputados/204473,General Girão,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RN,56,https://www.camara.leg.br/internet/deputado/bandep/204473.jpg,
197,https://dadosabertos.camara.leg.br/api/v2/deputados/204484,General Peternelli,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204484.jpg,
198,https://dadosabertos.camara.leg.br/api/v2/deputados/204527,Geninho Zuliani,22,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204527.jpg,
199,https://dadosabertos.camara.leg.br/api/v2/deputados/178966,Geovania de Sá,14,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SC,56,https://www.camara.leg.br/internet/deputado/bandep/178966.jpg,
200,https://dadosabertos.camara.leg.br/api/v2/deputados/204394,Gervásio Maia,11,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,PB,56,https://www.camara.leg.br/internet/deputado/bandep/204394.jpg,
201,https://dadosabertos.camara.leg.br/api/v2/deputados/74383,Giacobo,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,PR,56,https://www.camara.leg.br/internet/deputado/bandep/74383.jpg,
202,https://dadosabertos.camara.leg.br/api/v2/deputados/204575,Gil Cutrim,20,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MA,56,https://www.camara.leg.br/internet/deputado/bandep/204575.jpg,
203,https://dadosabertos.camara.leg.br/api/v2/deputados/204491,Gilberto Abramo,20,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MG,56,https://www.camara.leg.br/internet/deputado/bandep/204491.jpg,
204,https://dadosabertos.camara.leg.br/api/v2/deputados/74270,Gilberto Nascimento,12,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,SP,56,https://www.camara.leg.br/internet/deputado/bandep/74270.jpg,
205,https://dadosabertos.camara.leg.br/api/v2/deputados/204365,Gilson Marques,3,https://dadosabertos.camara.leg.br/api/v2/partidos/37901,SC,56,https://www.camara.leg.br/internet/deputado/bandep/204365.jpg,
206,https://dadosabertos.camara.leg.br/api/v2/deputados/160673,Giovani Cherini,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RS,56,https://www.camara.leg.br/internet/deputado/bandep/160673.jpg,
207,https://dadosabertos.camara.leg.br/api/v2/deputados/178996,Giovani Feltes,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,RS,56,https://www.camara.leg.br/internet/deputado/bandep/178996.jpg,
208,https://dadosabertos.camara.leg.br/api/v2/deputados/152605,Glauber Braga,15,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/152605.jpg,
209,https://dadosabertos.camara.leg.br/api/v2/deputados/204419,Glaustin da Fokus,12,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,GO,56,https://www.camara.leg.br/internet/deputado/bandep/204419.jpg,
210,https://dadosabertos.camara.leg.br/api/v2/deputados/107283,Gleisi Hoffmann,16,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PR,56,https://www.camara.leg.br/internet/deputado/bandep/107283.jpg,
211,https://dadosabertos.camara.leg.br/api/v2/deputados/74419,Gonzaga Patriota,11,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,PE,56,https://www.camara.leg.br/internet/deputado/bandep/74419.jpg,
212,https://dadosabertos.camara.leg.br/api/v2/deputados/198197,Greyce Elias,0,https://dadosabertos.camara.leg.br/api/v2/partidos/36898,MG,56,https://www.camara.leg.br/internet/deputado/bandep/198197.jpg,
213,https://dadosabertos.camara.leg.br/api/v2/deputados/204513,Guiga Peixoto,12,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,SP,56,https://www.camara.leg.br/internet/deputado/bandep/204513.jpg,
214,https://dadosabertos.camara.leg.br/api/v2/deputados/160667,Guilherme Mussi,9,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SP,56,https://www.camara.leg.br/internet/deputado/bandep/160667.jpg,
215,https://dadosabertos.camara.leg.br/api/v2/deputados/204442,Gurgel,7,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/204442.jpg,
216,https://dadosabertos.camara.leg.br/api/v2/deputados/73460,Gustavo Fruet,6,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,PR,56,https://www.camara.leg.br/internet/deputado/bandep/73460.jpg,
217,https://dadosabertos.camara.leg.br/api/v2/deputados/204408,Gustinho Ribeiro,20,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,SE,56,https://www.camara.leg.br/internet/deputado/bandep/204408.jpg,
218,https://dadosabertos.camara.leg.br/api/v2/deputados/204456,Gutemberg Reis,2,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/204456.jpg,
